Code1,Code2,Code3,Code4,Code5
0,0,0,1,0
1,0,0,0,0
0,1,1,0,0
1,0,0,0,0
0,1,0,0,0
1,0,0,0,0
0,0,0,1,0
0,0,1,1,0
0,1,0,1,1
0,0,0,1,0
0,0,0,1,0
0,0,1,0,0
0,1,1,0,0
0,0,1,0,0
0,1,0,0,0
0,0,1,0,0
0,0,0,1,0
1,0,0,0,0
0,0,1,1,1
1,0,0,0,0
1,0,0,0,0
1,1,0,0,0
0,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0,0,1,1,1
0,1,0,0,0
0,1,1,0,0
0,1,0,1,0
0,0,0,1,0
0,0,0,1,0
1,0,0,0,0
0,0,0,1,0
0,1,0,0,0
0,1,0,1,0
0,1,1,0,0
0,0,0,0,0
0,1,1,1,0
0,1,0,0,0
1,0,0,0,0
0,1,0,0,0
0,0,0,1,0
0,1,0,1,0
1,0,0,0,0
1,0,0,1,0
0,1,0,0,0
0,0,1,0,0
1,0,0,0,0
0,1,0,0,0
0,1,1,0,0
0,1,0,0,0
0,0,1,1,0
0,1,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0,1,0,0,0
0,0,1,0,0
0,1,0,0,0
0,1,1,0,0
1,0,1,0,0
1,0,0,0,0
0,1,1,1,0
0,0,0,1,0
0,0,0,1,0
0,1,0,0,0
0,0,0,1,0
1,0,0,0,0
0,0,1,0,0
0,1,1,0,0
0,1,0,0,0
0,0,0,0,0
1,0,0,0,0
0,1,0,1,1
0,1,0,0,0
0,1,0,0,0
1,0,0,1,0
0,1,1,0,0
0,1,0,0,0
1,0,0,0,0
0,1,1,1,0
0,1,1,0,0
0,0,1,0,0
1,0,0,0,0
0,0,1,1,1
0,0,0,0,0
0,1,0,0,0
1,0,1,0,0
1,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,1,0
0,1,1,0,0
0,1,0,0,0
0,1,1,0,1
0,0,0,1,0
0,0,0,0,1
1,0,0,0,0
0,1,0,0,0
0,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0,0,0,1,0
0,1,0,0,0
1,0,0,0,0
0,0,0,0,1
0,0,0,1,0
1,0,1,0,0
0,0,1,0,0
0,0,0,1,0
0,0,1,0,0
0,1,1,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0,0,1,0,0
0,0,0,0,0
0,1,1,0,0
